team_id,team_name,league_id,league_name,season,rank,points,played,won,draw,lost,goals_for,goals_against,goal_diff,current_matchday
413,nec nijmegen,88,eredivisie,2025,3,43,24,12,7,5,59,40,19,24
194,ajax,88,eredivisie,2025,4,43,24,11,10,3,47,31,16,24
201,az alkmaar,88,eredivisie,2025,5,39,24,11,6,7,42,38,4,24
415,twente,88,eredivisie,2025,6,38,24,9,11,4,39,26,13,24
426,sparta rotterdam,88,eredivisie,2025,7,37,24,11,4,9,31,40,-9,24
207,utrecht,88,eredivisie,2025,8,31,24,8,7,9,36,31,5,24
202,groningen,88,eredivisie,2025,9,31,24,9,4,11,31,32,-1,24
210,heerenveen,88,eredivisie,2025,10,31,24,8,7,9,40,42,-2,24
205,fortuna sittard,88,eredivisie,2025,11,29,24,8,5,11,36,43,-7,24
193,pec zwolle,88,eredivisie,2025,12,27,24,7,6,11,34,50,-16,24
410,go ahead eagles,88,eredivisie,2025,13,26,24,5,11,8,37,39,-2,24
196,excelsior,88,eredivisie,2025,14,26,24,7,5,12,26,41,-15,24
416,fc volendam,88,eredivisie,2025,15,24,24,6,6,12,26,39,-13,24
203,nac breda,88,eredivisie,2025,16,22,24,5,7,12,25,36,-11,24
427,telstar,88,eredivisie,2025,17,18,24,3,9,12,28,41,-13,24
206,heracles,88,eredivisie,2025,18,17,24,5,2,17,31,62,-31,24
212,fc porto,94,liga portugal,2025,1,62,23,20,2,1,44,7,37,23
228,sporting cp,94,liga portugal,2025,2,58,23,18,4,1,59,12,47,23
211,benfica,94,liga portugal,2025,3,55,23,16,7,0,49,13,36,23
217,sc braga,94,liga portugal,2025,4,42,23,12,6,5,48,22,26,23
762,gil vicente,94,liga portugal,2025,5,40,23,11,7,5,34,21,13,23
230,estoril,94,liga portugal,2025,6,33,23,9,6,8,46,39,7,23
215,moreirense,94,liga portugal,2025,7,33,23,10,3,10,29,33,-4,23
242,famalicao,94,liga portugal,2025,8,32,22,9,5,8,27,21,6,23
224,guimaraes,94,liga portugal,2025,9,31,23,9,4,10,27,34,-7,23
4724,alverca,94,liga portugal,2025,10,26,23,7,5,11,23,38,-15,23
240,arouca,94,liga portugal,2025,11,26,23,7,5,11,31,49,-18,23
15130,estrela,94,liga portugal,2025,12,23,23,5,8,10,26,41,-15,23
4716,casa pia,94,liga portugal,2025,13,22,22,5,7,10,25,41,-16,23
225,nacional,94,liga portugal,2025,14,21,23,5,6,12,27,34,-7,23
226,rio ave,94,liga portugal,2025,15,20,23,4,8,11,23,44,-21,23
227,santa clara,94,liga portugal,2025,16,18,23,4,6,13,18,29,-11,23
218,tondela,94,liga portugal,2025,17,18,23,4,6,13,17,36,-19,23
21595,avs,94,liga portugal,2025,18,8,23,1,5,17,18,57,-39,23
254,heart of midlothian,179,scottish premiership,2025,1,60,28,18,6,4,51,24,27,28
257,rangers,179,scottish premiership,2025,2,56,28,15,11,2,49,23,26,28
247,celtic,179,scottish premiership,2025,3,54,27,17,3,7,49,28,21,28
256,motherwell,179,scottish premiership,2025,4,50,27,13,11,3,45,18,27,28
249,hibernian,179,scottish premiership,2025,5,45,28,12,9,7,45,32,13,28
1389,falkirk,179,scottish premiership,2025,6,39,28,11,6,11,32,36,-4,28
1386,dundee utd,179,scottish premiership,2025,7,29,26,6,11,9,34,43,-9,28
252,aberdeen,179,scottish premiership,2025,8,28,26,8,4,14,28,38,-10,28
253,dundee,179,scottish premiership,2025,9,27,27,7,6,14,24,42,-18,28
251,st mirren,179,scottish premiership,2025,10,23,27,5,8,14,21,42,-21,28
